ocid,release_id,date,buyer_name,tender_id,tender_title,mainprocurementcategory,tender_minvalue,tender_datepublished,tender_status,award_id,award_title,award_date,award_value,award_supplier
ocds-20h3g7-26650127,ocds-20h3g7-26650127-1,2014-12-24,Pemerintah Daerah Provinsi Dki Jakarta,26650127,Pengadaan Makanan Binatang/Satwa Tmr (Pakan Kering Dan Tambahan),goods,1499501895.0,2014-12-08,complete,26650127-1,Pengadaan Makanan Binatang/Satwa Tmr (Pakan Kering Dan Tambahan),2014-12-24,1157888250.0,Cv. Usaha Selaras
ocds-20h3g7-26651127,ocds-20h3g7-26651127-2,2015-04-24,Pemerintah Daerah Provinsi Dki Jakarta,26651127,Pengadaan Makanan Binatang/ Satwa Tmr (Buah Dan Sayuran),goods,9039068875.0,2014-12-30,complete,26651127-1,Pengadaan Makanan Binatang/ Satwa Tmr (Buah Dan Sayuran),2015-04-24,6867944650.0,Cv. Pangan Indo
ocds-20h3g7-26652127,ocds-20h3g7-26652127-2,2015-04-23,Pemerintah Daerah Provinsi Dki Jakarta,26652127,Belanja Bahan Pakan Daging/Binatang Hidup,goods,6271924250.0,2014-12-31,complete,26652127-1,Belanja Bahan Pakan Daging/Binatang Hidup,2015-04-23,6196783000.0,Cv. Rosadia Petaho
ocds-20h3g7-26656127,ocds-20h3g7-26656127-1,2015-04-15,Pemerintah Daerah Provinsi Dki Jakarta,26656127,Penyelenggaraan Kegiatan  Asia Golf Tourism Convention (Agtc) Tahun 2015 Di Jakarta (Tuan Rumah),services,19886068125.0,2015-03-31,complete,26656127-1,Penyelenggaraan Kegiatan  Asia Golf Tourism Convention (Agtc) Tahun 2015 Di Jakarta (Tuan Rumah),2015-04-15,19349990000.0,Pt. Ekspo Kreatif Indo
ocds-20h3g7-26657127,ocds-20h3g7-26657127-1,2015-04-17,Pemerintah Daerah Provinsi Dki Jakarta,26657127,"Pengadaan Naskah Soal Ujian Sekolah/ Madrasah Berstandar Daerah (Us/M Bd),  Ijazah/Sttb Sd/Sdlb Dan Skhus/ M Bd   Tahun Pelajaran 2014/2015",services,1612679739.0,2015-04-02,complete,26657127-1,"Pengadaan Naskah Soal Ujian Sekolah/ Madrasah Berstandar Daerah (Us/M Bd),  Ijazah/Sttb Sd/Sdlb Dan Skhus/ M Bd   Tahun Pelajaran 2014/2015",2015-04-17,1263165520.0,Pt Pura Barutama
ocds-20h3g7-26658127,ocds-20h3g7-26658127-1,2015-05-06,Pemerintah Daerah Provinsi Dki Jakarta,26658127,Pengadaan Raport Siswa Sd,services,1433850000.0,2015-04-06,complete,26658127-1,Pengadaan Raport Siswa Sd,2015-05-06,986040000.0,Pt Pura Barutama
ocds-20h3g7-26660127,ocds-20h3g7-26660127-1,2015-05-18,,26660127,Pemasangan Pipa Steel Diameter 1200 Mm Jl. Ciputat Raya (Hotel Asri - Komplek Polri),works,4741584060.0,2015-04-27,complete,26660127-1,Pemasangan Pipa Steel Diameter 1200 Mm Jl. Ciputat Raya (Hotel Asri - Komplek Polri),2015-05-18,4468749202.5,Pt. Promits
ocds-20h3g7-26661127,ocds-20h3g7-26661127-1,2015-05-29,,26661127,Pemasangan Pipa Hdpe Diameter 300 Mm Di Jl. R.A. Kartini,works,7639549976.0,2015-05-05,complete,26661127-1,Pemasangan Pipa Hdpe Diameter 300 Mm Di Jl. R.A. Kartini,2015-05-29,6980155294.2,Pt.Kalirandoe Jaya Abadi
ocds-20h3g7-26662127,ocds-20h3g7-26662127-1,2015-05-25,,26662127,Pemasangan Pipa Hdpe Jl. Rs. Fatmawati  Huk Banjarsari 2 & 4,works,574621505.0,2015-05-05,complete,26662127-1,Pemasangan Pipa Hdpe Jl. Rs. Fatmawati  Huk Banjarsari 2 & 4,2015-05-25,521948221.3,Pt. Kalibening Jaya Abadi
ocds-20h3g7-26663127,ocds-20h3g7-26663127-2,2015-05-27,,26663127,Pemasangan Pipa Hdpe Diameter 400 Mm Jl. Rs. Fatmawati (Huk Jl. Kh Muhasyim 1 - Huk Jl. Cemara) Cp 101-102,works,2655143335.0,2015-05-07,complete,26663127-1,Pemasangan Pipa Hdpe Diameter 400 Mm Jl. Rs. Fatmawati (Huk Jl. Kh Muhasyim 1 - Huk Jl. Cemara) Cp 101-102,2015-05-27,2152519052.44,Pt.Kalirandoe Jaya Abadi
ocds-20h3g7-26664127,ocds-20h3g7-26664127-1,2015-05-25,,26664127,Penyediaan Makanan Dan Minuman Wbs Pstw Budi Mulia 4,goods,877787560.0,2015-05-12,complete,26664127-1,Penyediaan Makanan Dan Minuman Wbs Pstw Budi Mulia 4,2015-05-25,797930410.0,Cv. Karina Lestari
ocds-20h3g7-26665127,ocds-20h3g7-26665127-1,2015-05-25,,26665127,Penyediaan Makanan Dan Minuman Wbs Psbl Harapan Sentosa 1,goods,3744982770.0,2015-05-12,complete,26665127-1,Penyediaan Makanan Dan Minuman Wbs Psbl Harapan Sentosa 1,2015-05-25,3514342250.0,Cv. Bama Indonesia
ocds-20h3g7-26666127,ocds-20h3g7-26666127-1,2015-05-26,,26666127,Penyediaan Makanan Dan Miinuman Wbs Psbi Bangun Daya 1,goods,2499983240.0,2015-05-11,complete,26666127-1,Penyediaan Makanan Dan Miinuman Wbs Psbi Bangun Daya 1,2015-05-26,2232377200.0,Cv.Alam Permai
ocds-20h3g7-26667127,ocds-20h3g7-26667127-1,2015-06-09,Pemerintah Daerah Provinsi Dki Jakarta,26667127,Penyediaan Bahan Dan Pangan Permakanan Wbs Pstw Budi Mulia 2,goods,1925770155.0,2015-05-11,complete,26667127-1,Penyediaan Bahan Dan Pangan Permakanan Wbs Pstw Budi Mulia 2,2015-06-09,1712338560.0,Cv. Usaha Selaras
ocds-20h3g7-26668127,ocds-20h3g7-26668127-1,2015-05-25,,26668127,Belanja Bahan Dan Pangan,goods,799670066.0,2015-05-11,complete,26668127-1,Belanja Bahan Dan Pangan,2015-05-25,735217206.0,Cv. Samjaya Mandiri
ocds-20h3g7-26672127,ocds-20h3g7-26672127-1,2015-05-25,,26672127,Penyediaan Makanan Dan Minuman Wbs Pspp Khusnul Khotimah,goods,1029708700.0,2015-05-12,complete,26672127-1,Penyediaan Makanan Dan Minuman Wbs Pspp Khusnul Khotimah,2015-05-25,885417880.0,Cv.Alam Permai
ocds-20h3g7-26676127,ocds-20h3g7-26676127-1,2015-05-25,,26676127,Penyediaan Makanan Dan Minuman Wbs  Psbi Bangun Daya 2,goods,1417725740.0,2015-05-13,complete,26676127-1,Penyediaan Makanan Dan Minuman Wbs  Psbi Bangun Daya 2,2015-05-25,1298493000.0,Cv. Afif Artha Mulia
ocds-20h3g7-26678127,ocds-20h3g7-26678127-1,2015-05-25,,26678127,Penyediaan Makan Dan Minuman Wbs Panti Sosial Bina Laras Harapan Sentosa 2,goods,5351518091.0,2015-05-13,complete,26678127-1,Penyediaan Makan Dan Minuman Wbs Panti Sosial Bina Laras Harapan Sentosa 2,2015-05-25,4545577300.0,Cv. Pangan Indo
ocds-20h3g7-26679127,ocds-20h3g7-26679127-1,2015-05-25,,26679127,Penyediaan Makanan Dan Minuman Wbs Psbk Harapan Jaya,goods,1040542695.0,2015-05-13,complete,26679127-1,Penyediaan Makanan Dan Minuman Wbs Psbk Harapan Jaya,2015-05-25,889060100.0,Cv.Alam Permai
ocds-20h3g7-26680127,ocds-20h3g7-26680127-1,2015-05-21,Pemerintah Daerah Provinsi Dki Jakarta,26680127,Pelaksanaan New Cities Summit 2015 Di Jakarta,services,14595711900.0,2015-05-13,complete,26680127-1,Pelaksanaan New Cities Summit 2015 Di Jakarta,2015-05-21,13655220700.0,Pt. Multi Taruna Sejati
ocds-20h3g7-26681127,ocds-20h3g7-26681127-1,2015-05-21,Pemerintah Daerah Provinsi Dki Jakarta,26681127,Penyelenggaraan Jakarta Carnaval (Jakarnaval),services,9965683750.0,2015-05-13,complete,26681127-1,Penyelenggaraan Jakarta Carnaval (Jakarnaval),2015-05-21,9169754000.0,Pt. Shalita Citra Mandiri
ocds-20h3g7-26683127,ocds-20h3g7-26683127-1,2015-05-29,,26683127,Penyediaan Makanan Dan Minuman Wbs Panti Sosial Asuhan Anak Putra Utama 1,goods,1070000000.0,2015-05-18,complete,26683127-1,Penyediaan Makanan Dan Minuman Wbs Panti Sosial Asuhan Anak Putra Utama 1,2015-05-29,950914564.0,Cv. Usaha Selaras
ocds-20h3g7-26686127,ocds-20h3g7-26686127-1,2015-05-22,Pemerintah Daerah Provinsi Dki Jakarta,26686127,Festival Jakarta Great Sale (Fjgs),services,2489683625.0,2015-05-15,complete,26686127-1,Festival Jakarta Great Sale (Fjgs),2015-05-22,1964098290.0,Pt. Lensa Globalindo
ocds-20h3g7-26687127,ocds-20h3g7-26687127-1,2015-06-01,,26687127,Pemeliharaan Berkala Berat Jalan Di Kecamatan Jagakarsa (Jasa Konsultansi Pengawasan),services,196713000.0,2015-05-18,complete,26687127-1,Pemeliharaan Berkala Berat Jalan Di Kecamatan Jagakarsa (Jasa Konsultansi Pengawasan),2015-06-01,186879000.0,Pt. Asia Juli Pradana
ocds-20h3g7-26689127,ocds-20h3g7-26689127-1,2015-06-01,,26689127,Pemeliharaan Berkala Berat Jalan Di Kecamatan Kebayoran Baru (Jasa Konsultansi Pengawasan),services,190333000.0,2015-05-18,complete,26689127-1,Pemeliharaan Berkala Berat Jalan Di Kecamatan Kebayoran Baru (Jasa Konsultansi Pengawasan),2015-06-01,169345000.0,Pt. Sava Bintang Padang
ocds-20h3g7-26690127,ocds-20h3g7-26690127-1,2015-06-03,,26690127,Pemeliharaan Berkala Berat Jalan Dikecamatan Kebayoran Lama (Jasa Konsultansi Pengawasan),services,196713000.0,2015-05-19,complete,26690127-1,Pemeliharaan Berkala Berat Jalan Dikecamatan Kebayoran Lama (Jasa Konsultansi Pengawasan),2015-06-03,170440000.0,Pt. Plato Isoiki
ocds-20h3g7-26691127,ocds-20h3g7-26691127-1,2015-06-04,,26691127,Pengadaan Jasa Konsultansi Badan Usaha  Pemeliharaan Berkala Berat Jalan Di Kecamatan Setiabudi  (Jasa Konsultansi Pengawasan),services,137038000.0,2015-05-18,complete,26691127-1,Pengadaan Jasa Konsultansi Badan Usaha  Pemeliharaan Berkala Berat Jalan Di Kecamatan Setiabudi  (Jasa Konsultansi Pengawasan),2015-06-04,123695000.0,Pt. Bumi Madani
ocds-20h3g7-26692127,ocds-20h3g7-26692127-1,2015-06-02,,26692127,Pemeliharaan Berkala Berat Jalan Di Kecamatan Cilandak (Jasa Konsultan Pengawasan),services,190333000.0,2015-05-19,complete,26692127-1,Pemeliharaan Berkala Berat Jalan Di Kecamatan Cilandak (Jasa Konsultan Pengawasan),2015-06-02,174955000.0,Pt. Nabela Karya Abadi
ocds-20h3g7-26693127,ocds-20h3g7-26693127-1,2015-05-29,,26693127,Belanja/Uang Makanan Dan Minuman Peserta/Petugas/Panitia,services,1367799400.0,2015-05-19,complete,26693127-1,Belanja/Uang Makanan Dan Minuman Peserta/Petugas/Panitia,2015-05-29,1261898440.0,Pt. Cakra Wredhi Pratama
ocds-20h3g7-26694127,ocds-20h3g7-26694127-1,2015-06-04,Pemerintah Daerah Provinsi Dki Jakarta,26694127,Penyediaan Makanan Dan Minuman Wbs Pstw Budi Mulia 3,goods,884565080.0,2015-05-20,complete,26694127-1,Penyediaan Makanan Dan Minuman Wbs Pstw Budi Mulia 3,2015-06-04,800000737.0,Cv. Karina Lestari
ocds-20h3g7-26696127,ocds-20h3g7-26696127-1,2015-06-24,,26696127,Pengawasan Penyelesaian Pembangunan Blok D Kantor Pemerintah Kota Administrasi Jakarta Pusat,services,482597500.0,2015-05-19,complete,26696127-1,Pengawasan Penyelesaian Pembangunan Blok D Kantor Pemerintah Kota Administrasi Jakarta Pusat,2015-06-24,330000000.0,Pt. Tiramatsi Utama
ocds-20h3g7-26697127,ocds-20h3g7-26697127-1,2015-05-29,,26697127,Belanja Jasa Konsultansi Pengawasan Pemeliharaan Berkala Berat Jalan Di Kecamatan Tebet,services,190333000.0,2015-05-19,complete,26697127-1,Belanja Jasa Konsultansi Pengawasan Pemeliharaan Berkala Berat Jalan Di Kecamatan Tebet,2015-05-29,166040000.0,Pt. Plato Isoiki
ocds-20h3g7-26699127,ocds-20h3g7-26699127-1,2015-05-29,,26699127,Penyediaan Makanan Dan Minuman Wbs Panti Sosial Perlindungan Bhakti Kasih,goods,539655880.0,2015-05-19,complete,26699127-1,Penyediaan Makanan Dan Minuman Wbs Panti Sosial Perlindungan Bhakti Kasih,2015-05-29,483006400.0,Cv. Afif Artha Mulia
ocds-20h3g7-26700127,ocds-20h3g7-26700127-1,2015-06-01,,26700127,Belanja Sewa Tenda Penyelenggaran Pekan Rakyat Kota Jakarta Timur,services,489390000.0,2015-05-21,complete,26700127-1,Belanja Sewa Tenda Penyelenggaran Pekan Rakyat Kota Jakarta Timur,2015-06-01,392260000.0,Cv. Rino Satria
ocds-20h3g7-26701127,ocds-20h3g7-26701127-1,2015-06-09,,26701127,Pemasangan Jembatan Pipa Steel Diameter 300 Mm Jl. R.A. Kartini,works,499259938.0,2015-05-20,complete,26701127-1,Pemasangan Jembatan Pipa Steel Diameter 300 Mm Jl. R.A. Kartini,2015-06-09,447883876.0,Pt. Kalibening Jaya Abadi
ocds-20h3g7-26702127,ocds-20h3g7-26702127-1,2015-07-10,,26702127,Belanja Barang Pakai Habis Sandang,goods,274308100.0,2015-06-29,complete,26702127-1,Belanja Barang Pakai Habis Sandang,2015-07-10,251866841.0,Cv. Sosor Lestari Jaya
ocds-20h3g7-26703127,ocds-20h3g7-26703127-1,2015-06-01,,26703127,Penyediaan Makanan Dan Minuman Wbs Psbr Taruna Jaya,goods,451664805.0,2015-05-20,complete,26703127-1,Penyediaan Makanan Dan Minuman Wbs Psbr Taruna Jaya,2015-06-01,432484800.0,Cv. Pelita Utama Mandiri
ocds-20h3g7-26704127,ocds-20h3g7-26704127-1,2015-06-11,,26704127,Pengadaan Alat Tulis Kantor (Atk) Kebutuhan Pam Jaya,goods,499378860.0,2015-05-22,complete,26704127-1,Pengadaan Alat Tulis Kantor (Atk) Kebutuhan Pam Jaya,2015-06-11,454942950.0,Cv. Laskar Sejati
ocds-20h3g7-26705127,ocds-20h3g7-26705127-1,2015-06-05,,26705127,Belanja Bahan Pangan Panti Sosial Asuhan Anak Putra Utama 2,goods,569132850.0,2015-05-21,complete,26705127-1,Belanja Bahan Pangan Panti Sosial Asuhan Anak Putra Utama 2,2015-06-05,505996000.0,Cv. Alam Pangan
ocds-20h3g7-26706127,ocds-20h3g7-26706127-1,2015-06-04,,26706127,Belanja Bahan Dan Pangan (Penyediaan Makanan Dan Minuman Wbs Semester Ii Psaa Putra Utama 3),goods,860715020.0,2015-05-21,complete,26706127-1,Belanja Bahan Dan Pangan (Penyediaan Makanan Dan Minuman Wbs Semester Ii Psaa Putra Utama 3),2015-06-04,740343888.0,Pt.Cipta Anugrah Bintang Subur
ocds-20h3g7-26707127,ocds-20h3g7-26707127-1,2015-07-06,Pemerintah Daerah Provinsi Dki Jakarta,26707127,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Sdn Kramat Jati 27,services,242159500.0,2015-05-22,complete,26707127-1,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Sdn Kramat Jati 27,2015-07-06,223995000.0,Pt.Saritama Purnama
ocds-20h3g7-26708127,ocds-20h3g7-26708127-1,2015-05-29,Pemerintah Daerah Provinsi Dki Jakarta,26708127,Penyelenggaraan Pemilihan Abang Dan None Jakarta,services,4992122300.0,2015-05-22,complete,26708127-1,Penyelenggaraan Pemilihan Abang Dan None Jakarta,2015-05-29,4641450000.0,Pt. Ekspo Kreatif Indo
ocds-20h3g7-26709127,ocds-20h3g7-26709127-1,2015-07-03,Pemerintah Daerah Provinsi Dki Jakarta,26709127,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Smp 197,services,242159500.0,2015-05-22,complete,26709127-1,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Smp 197,2015-07-03,228261000.0,Pt. Sewun Indo Konsultan
ocds-20h3g7-26710127,ocds-20h3g7-26710127-1,2015-06-05,Pemerintah Daerah Kabupaten Puncak Jaya,26710127,Perbaikan Jalan Lingkungan/Orang/Saluran Kecamatan Jagakarsa (Jasa Konsultansi Pengawasan Pekerjaan Hotmix),services,63833000.0,2015-05-22,complete,26710127-1,Perbaikan Jalan Lingkungan/Orang/Saluran Kecamatan Jagakarsa (Jasa Konsultansi Pengawasan Pekerjaan Hotmix),2015-06-05,54890000.0,Danureksa Sarana Cipta
ocds-20h3g7-26711127,ocds-20h3g7-26711127-1,2015-06-05,Pemerintah Daerah Provinsi Dki Jakarta,26711127,Pengadaan Cetakan Khusus (Security Printing Dan Formulir),services,545503365.0,2015-05-22,complete,26711127-1,Pengadaan Cetakan Khusus (Security Printing Dan Formulir),2015-06-05,539880000.0,Pt. Swadharma Eragrafindo Sarana
ocds-20h3g7-26712127,ocds-20h3g7-26712127-1,2015-07-03,Pemerintah Daerah Provinsi Dki Jakarta,26712127,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Kantor Puslatdikjur Jakarta Timur,services,442695000.0,2015-05-22,complete,26712127-1,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Kantor Puslatdikjur Jakarta Timur,2015-07-03,349525000.0,Pt. Tiramatsi Utama
ocds-20h3g7-26714127,ocds-20h3g7-26714127-1,2015-07-03,Pemerintah Daerah Provinsi Dki Jakarta,26714127,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Smpn 164,services,339256500.0,2015-05-22,complete,26714127-1,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Smpn 164,2015-07-03,233750000.0,Pt. Trisarpa
ocds-20h3g7-26716127,ocds-20h3g7-26716127-1,2015-07-29,Pemerintah Daerah Provinsi Dki Jakarta,26716127,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Sman 55,services,231110000.0,2015-05-22,complete,26716127-1,Jasa Konsultansi Pengawasan Penyelesaian Rehabilitasi Total Gedung Sman 55,2015-07-29,207900000.0,Pt. Wyda Arsikona Buana
