Unnamed: 0,Akun,Anggaran/Pagu,Realisasi,%,Year
,Pendapatan,"479.098,17 M","546.709,59 M",114.11,2011
,,,,,2011
,PAD,"90.393,26 M","108.874,61 M",120.45,2011
,,,,,2011
,Pajak Daerah,"63.640,19 M","79.022,52 M",124.17,2011
,,,,,2011
,Retribusi Daerah,"7.935,45 M","7.998,80 M",100.8,2011
,,,,,2011
,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"4.352,66 M","4.955,96 M",113.86,2011
,,,,,2011
,Lain-Lain PAD yang Sah,"14.464,95 M","16.897,34 M",116.82,2011
,,,,,2011
,Dana Perimbangan,"327.260,58 M","343.011,08 M",104.81,2011
,,,,,2011
,DBH,"76.357,61 M","93.178,03 M",122.03,2011
,,,,,2011
,DAU,"225.716,53 M","225.191,25 M",99.77,2011
,,,,,2011
,DAK,"25.186,44 M","24.641,81 M",97.84,2011
,,,,,2011
,Pendapatan Lainnya,"61.444,33 M","94.823,90 M",154.32,2011
,,,,,2011
,Hibah,"2.485,92 M","2.200,68 M",88.53,2011
,,,,,2011
,Dana Darurat,"294,54 M","198,57 M",67.42,2011
,,,,,2011
,Bagi Hasil Provinsi atau Pemda Lain,"13.627,71 M","18.240,01 M",133.84,2011
,,,,,2011
,Dana Penyesuaian dan Otsus,"37.096,06 M","62.393,46 M",168.19,2011
,,,,,2011
,Bantuan Keuangan,"5.613,90 M","2.196,33 M",39.12,2011
,,,,,2011
,Pendapatan Lainnya,"2.326,21 M","9.594,86 M",412.47,2011
,,,,,2011
,Belanja,"514.467,57 M","519.050,34 M",100.89,2011
,,,,,2011
,Belanja Tidak Langsung,"270.936,86 M","298.486,69 M",110.17,2011
,,,,,2011
,Belanja Pegawai Tidak Langsung,"203.385,61 M","224.573,52 M",110.42,2011
,,,,,2011
,Belanja Langsung,"243.530,71 M","220.563,65 M",90.57,2011
,,,,,2011
,Belanja Bunga,"188,99 M","199,40 M",105.51,2011
,,,,,2011
,Belanja Pegawai Langsung,"25.691,75 M","5.636,29 M",21.94,2011
,,,,,2011
,Belanja Barang Jasa,"104.216,61 M","105.936,36 M",101.65,2011
,,,,,2011
,Belanja Modal,"113.622,35 M","108.991,00 M",95.92,2011
,,,,,2011
,Belanja Subsidi,"707,42 M","695,00 M",98.24,2011
,,,,,2011
,Belanja Hibah,"16.086,97 M","17.953,30 M",111.6,2011
,,,,,2011
,Belanja Bantuan Sosial,"12.027,60 M","12.719,08 M",105.75,2011
,,,,,2011
,Belanja Bagi Hasil,"15.101,84 M","19.611,96 M",129.86,2011
,,,,,2011
,Belanja Bantuan Keuangan,"21.778,35 M","21.922,81 M",100.66,2011
,,,,,2011
,Belanja Tidak Terduga,"1.660,07 M","811,62 M",48.89,2011
,,,,,2011
,Pembiayaan,"52.903,81 M","67.415,83 M",127.43,2011
,,,,,2011
,Penerimaan Pembiayaan,"44.497,24 M","58.561,27 M",131.61,2011
,,,,,2011
,SiLPA TA Sebelumnya,"40.691,85 M","56.482,53 M",138.81,2011
,,,,,2011
,Pencairan Dana Cadangan,"323,45 M","313,29 M",96.86,2011
,,,,,2011
,Penjualan Kekayaan Daerah yang Dipisahkan,"33,90 M","124,34 M",366.83,2011
,,,,,2011
,Penerimaan Pinjaman Daerah,"2.639,52 M","820,69 M",31.09,2011
,,,,,2011
,Penerimaan Kembali Pemberian Pinjaman,"808,53 M","820,42 M",101.47,2011
,,,,,2011
,Pengeluaran Pembiayaan,"-8.406,57 M","-8.854,56 M",105.33,2011
,,,,,2011
,Pembentukan Dana Cadangan,"-540,27 M","-1.440,36 M",266.6,2011
,,,,,2011
,Penyertaan Modal,"-3.570,63 M","-3.294,40 M",92.26,2011
,,,,,2011
,Pembayaran Pokok Utang,"-3.623,51 M","-3.456,94 M",95.4,2011
,,,,,2011
,Pemberian Pinjaman Daerah,"-363,98 M","-427,90 M",117.56,2011
,,,,,2011
,Pembayaran Kegiatan Lanjutan,"-127,94 M","0,00 M",0.0,2011
,,,,,2011
,Pengeluaran Perhitungan Pihak Ketiga,"-180,24 M","-234,96 M",130.36,2011
,,,,,2011
,Pendapatan,"577.051,13 M","646.182,45 M",111.98,2012
,,,,,2012
,PAD,"112.744,70 M","131.827,24 M",116.93,2012
,,,,,2012
,Pajak Daerah,"81.737,18 M","95.068,62 M",116.31,2012
,,,,,2012
,Retribusi Daerah,"8.139,73 M","9.747,60 M",119.75,2012
,,,,,2012
,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"5.279,00 M","5.176,26 M",98.05,2012
,,,,,2012
,Lain-Lain PAD yang Sah,"17.588,79 M","21.834,75 M",124.14,2012
,,,,,2012
,Dana Perimbangan,"380.983,68 M","405.905,81 M",106.54,2012
,,,,,2012
