ocid,release_id,date,buyer_name,buyer_id,tender_id,tender_title,mainProcurementCategory,tender_minValue,tender_datePublished,tender_status,award_id,award_title,award_date,award_value,award_supplier
ocds-20h3g7-26650127,ocds-20h3g7-26650127-1,2014-12-24T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,26650127,Pengadaan Makanan Binatang/Satwa TMR (pakan kering dan tambahan)  ,goods,1499501895.0,2014-12-08T00:00:00.000000Z,complete,26650127-1,Pengadaan Makanan Binatang/Satwa TMR (pakan kering dan tambahan)  ,2014-12-24T00:00:00.000000Z,1157888250.0,CV. USAHA SELARAS
ocds-20h3g7-26651127,ocds-20h3g7-26651127-2,2015-04-24T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,26651127,Pengadaan Makanan Binatang/ Satwa TMR (Buah dan Sayuran),goods,9039068875.0,2014-12-30T00:00:00.000000Z,complete,26651127-1,Pengadaan Makanan Binatang/ Satwa TMR (Buah dan Sayuran),2015-04-24T00:00:00.000000Z,6867944650.0,CV. PANGAN INDO
ocds-20h3g7-26652127,ocds-20h3g7-26652127-2,2015-04-23T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,26652127,Belanja Bahan Pakan Daging/Binatang Hidup,goods,6271924250.0,2014-12-31T00:00:00.000000Z,complete,26652127-1,Belanja Bahan Pakan Daging/Binatang Hidup,2015-04-23T00:00:00.000000Z,6196783000.0,CV. ROSADIA PETAHO
ocds-20h3g7-26656127,ocds-20h3g7-26656127-1,2015-04-15T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,26656127,Penyelenggaraan Kegiatan  Asia Golf Tourism Convention (AGTC) Tahun 2015 di Jakarta (Tuan Rumah),services,19886068125.0,2015-03-31T00:00:00.000000Z,complete,26656127-1,Penyelenggaraan Kegiatan  Asia Golf Tourism Convention (AGTC) Tahun 2015 di Jakarta (Tuan Rumah),2015-04-15T00:00:00.000000Z,19349990000.0,PT. EKSPO KREATIF INDO
ocds-20h3g7-26657127,ocds-20h3g7-26657127-1,2015-04-17T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,26657127,"Pengadaan Naskah Soal Ujian Sekolah/ Madrasah Berstandar Daerah (US/M BD),  Ijazah/STTB SD/SDLB dan SKHUS/ M BD   Tahun Pelajaran 2014/2015  ",services,1612679739.0,2015-04-02T00:00:00.000000Z,complete,26657127-1,"Pengadaan Naskah Soal Ujian Sekolah/ Madrasah Berstandar Daerah (US/M BD),  Ijazah/STTB SD/SDLB dan SKHUS/ M BD   Tahun Pelajaran 2014/2015  ",2015-04-17T00:00:00.000000Z,1263165520.0,PT PURA BARUTAMA
ocds-20h3g7-26658127,ocds-20h3g7-26658127-1,2015-05-06T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,26658127,Pengadaan Raport Siswa SD,services,1433850000.0,2015-04-06T00:00:00.000000Z,complete,26658127-1,Pengadaan Raport Siswa SD,2015-05-06T00:00:00.000000Z,986040000.0,PT PURA BARUTAMA
ocds-20h3g7-26660127,ocds-20h3g7-26660127-1,2015-05-18T00:00:00.000000Z,,,26660127,Pemasangan Pipa Steel Diameter 1200 mm Jl. Ciputat Raya (Hotel Asri - Komplek POLRI),works,4741584060.0,2015-04-27T00:00:00.000000Z,complete,26660127-1,Pemasangan Pipa Steel Diameter 1200 mm Jl. Ciputat Raya (Hotel Asri - Komplek POLRI),2015-05-18T00:00:00.000000Z,4468749202.5,PT. PROMITS
ocds-20h3g7-26661127,ocds-20h3g7-26661127-1,2015-05-29T00:00:00.000000Z,,,26661127,Pemasangan Pipa HDPE Diameter 300 mm di Jl. R.A. Kartini,works,7639549976.0,2015-05-05T00:00:00.000000Z,complete,26661127-1,Pemasangan Pipa HDPE Diameter 300 mm di Jl. R.A. Kartini,2015-05-29T00:00:00.000000Z,6980155294.2,PT.KALIRANDOE JAYA ABADI
ocds-20h3g7-26662127,ocds-20h3g7-26662127-1,2015-05-25T00:00:00.000000Z,,,26662127,Pemasangan Pipa HDPE Jl. RS. Fatmawati  huk Banjarsari 2 & 4,works,574621505.0,2015-05-05T00:00:00.000000Z,complete,26662127-1,Pemasangan Pipa HDPE Jl. RS. Fatmawati  huk Banjarsari 2 & 4,2015-05-25T00:00:00.000000Z,521948221.3,PT. KALIBENING JAYA ABADI
ocds-20h3g7-26663127,ocds-20h3g7-26663127-2,2015-05-27T00:00:00.000000Z,,,26663127,Pemasangan Pipa HDPE Diameter 400 mm JL. RS. Fatmawati (huk Jl. KH Muhasyim 1 - huk Jl. Cemara) CP 101-102,works,2655143335.0,2015-05-07T00:00:00.000000Z,complete,26663127-1,Pemasangan Pipa HDPE Diameter 400 mm JL. RS. Fatmawati (huk Jl. KH Muhasyim 1 - huk Jl. Cemara) CP 101-102,2015-05-27T00:00:00.000000Z,2152519052.44,PT.KALIRANDOE JAYA ABADI
