date,buyer_name,tender_title,mainprocurementcategory,tender_minvalue,tender_status,award_title,award_date,award_value,award_supplier,days_to_award,budget_utilization_ratio
2014-12-24,Pemerintah Daerah Provinsi Dki Jakarta,Pengadaan Makanan Binatang/Satwa Tmr (Pakan Kering Dan Tambahan),Goods,1499501895.0,Complete,Pengadaan Makanan Binatang/Satwa Tmr (Pakan Kering Dan Tambahan),2014-12-24,1157888250.0,Cv. Usaha Selaras,16,0.7721819184496596
2015-04-24,Pemerintah Daerah Provinsi Dki Jakarta,Pengadaan Makanan Binatang/ Satwa Tmr (Buah Dan Sayuran),Goods,9039068875.0,Complete,Pengadaan Makanan Binatang/ Satwa Tmr (Buah Dan Sayuran),2015-04-24,6867944650.0,Cv. Pangan Indo,115,0.7598066509920249
2015-04-23,Pemerintah Daerah Provinsi Dki Jakarta,Belanja Bahan Pakan Daging/Binatang Hidup,Goods,6271924250.0,Complete,Belanja Bahan Pakan Daging/Binatang Hidup,2015-04-23,6196783000.0,Cv. Rosadia Petaho,113,0.9880194264144692
2015-04-15,Pemerintah Daerah Provinsi Dki Jakarta,Penyelenggaraan Kegiatan  Asia Golf Tourism Convention (Agtc) Tahun 2015 Di Jakarta (Tuan Rumah),Services,19886068125.0,Complete,Penyelenggaraan Kegiatan  Asia Golf Tourism Convention (Agtc) Tahun 2015 Di Jakarta (Tuan Rumah),2015-04-15,19349990000.0,Pt. Ekspo Kreatif Indo,15,0.9730425279833944
2015-04-17,Pemerintah Daerah Provinsi Dki Jakarta,"Pengadaan Naskah Soal Ujian Sekolah/ Madrasah Berstandar Daerah (Us/M Bd),  Ijazah/Sttb Sd/Sdlb Dan Skhus/ M Bd   Tahun Pelajaran 2014/2015",Services,1612679739.0,Complete,"Pengadaan Naskah Soal Ujian Sekolah/ Madrasah Berstandar Daerah (Us/M Bd),  Ijazah/Sttb Sd/Sdlb Dan Skhus/ M Bd   Tahun Pelajaran 2014/2015",2015-04-17,1263165520.0,Pt Pura Barutama,15,0.7832711538766346
2015-05-06,Pemerintah Daerah Provinsi Dki Jakarta,Pengadaan Raport Siswa Sd,Services,1433850000.0,Complete,Pengadaan Raport Siswa Sd,2015-05-06,986040000.0,Pt Pura Barutama,30,0.687686996547756
2015-05-18,Unknown Buyer,Pemasangan Pipa Steel Diameter 1200 Mm Jl. Ciputat Raya (Hotel Asri - Komplek Polri),Works,4741584060.0,Complete,Pemasangan Pipa Steel Diameter 1200 Mm Jl. Ciputat Raya (Hotel Asri - Komplek Polri),2015-05-18,4468749202.5,Pt. Promits,21,0.942459133056053
2015-05-29,Unknown Buyer,Pemasangan Pipa Hdpe Diameter 300 Mm Di Jl. R.A. Kartini,Works,7639549976.0,Complete,Pemasangan Pipa Hdpe Diameter 300 Mm Di Jl. R.A. Kartini,2015-05-29,6980155294.2,Pt.Kalirandoe Jaya Abadi,24,0.9136867114068866
2015-05-25,Unknown Buyer,Pemasangan Pipa Hdpe Jl. Rs. Fatmawati  Huk Banjarsari 2 & 4,Works,574621505.0,Complete,Pemasangan Pipa Hdpe Jl. Rs. Fatmawati  Huk Banjarsari 2 & 4,2015-05-25,521948221.3,Pt. Kalibening Jaya Abadi,20,0.9083339498405999
2015-05-27,Unknown Buyer,Pemasangan Pipa Hdpe Diameter 400 Mm Jl. Rs. Fatmawati (Huk Jl. Kh Muhasyim 1 - Huk Jl. Cemara) Cp 101-102,Works,2655143335.0,Complete,Pemasangan Pipa Hdpe Diameter 400 Mm Jl. Rs. Fatmawati (Huk Jl. Kh Muhasyim 1 - Huk Jl. Cemara) Cp 101-102,2015-05-27,2152519052.44,Pt.Kalirandoe Jaya Abadi,20,0.8106978723391595
2015-05-25,Unknown Buyer,Penyediaan Makanan Dan Minuman Wbs Pstw Budi Mulia 4,Goods,877787560.0,Complete,Penyediaan Makanan Dan Minuman Wbs Pstw Budi Mulia 4,2015-05-25,797930410.0,Cv. Karina Lestari,13,0.9090245138584557
2015-05-25,Unknown Buyer,Penyediaan Makanan Dan Minuman Wbs Psbl Harapan Sentosa 1,Goods,3744982770.0,Complete,Penyediaan Makanan Dan Minuman Wbs Psbl Harapan Sentosa 1,2015-05-25,3514342250.0,Cv. Bama Indonesia,13,0.9384134629810327
2015-05-26,Unknown Buyer,Penyediaan Makanan Dan Miinuman Wbs Psbi Bangun Daya 1,Goods,2499983240.0,Complete,Penyediaan Makanan Dan Miinuman Wbs Psbi Bangun Daya 1,2015-05-26,2232377200.0,Cv.Alam Permai,15,0.8929568663828322
2015-06-09,Pemerintah Daerah Provinsi Dki Jakarta,Penyediaan Bahan Dan Pangan Permakanan Wbs Pstw Budi Mulia 2,Goods,1925770155.0,Complete,Penyediaan Bahan Dan Pangan Permakanan Wbs Pstw Budi Mulia 2,2015-06-09,1712338560.0,Cv. Usaha Selaras,29,0.8891707847658487
2015-05-25,Unknown Buyer,Belanja Bahan Dan Pangan,Goods,799670066.0,Complete,Belanja Bahan Dan Pangan,2015-05-25,735217206.0,Cv. Samjaya Mandiri,14,0.9194006844317716
2015-05-25,Unknown Buyer,Penyediaan Makanan Dan Minuman Wbs Pspp Khusnul Khotimah,Goods,1029708700.0,Complete,Penyediaan Makanan Dan Minuman Wbs Pspp Khusnul Khotimah,2015-05-25,885417880.0,Cv.Alam Permai,13,0.8598721949227
2015-05-25,Unknown Buyer,Penyediaan Makanan Dan Minuman Wbs  Psbi Bangun Daya 2,Goods,1417725740.0,Complete,Penyediaan Makanan Dan Minuman Wbs  Psbi Bangun Daya 2,2015-05-25,1298493000.0,Cv. Afif Artha Mulia,12,0.9158985855755147
2015-05-25,Unknown Buyer,Penyediaan Makan Dan Minuman Wbs Panti Sosial Bina Laras Harapan Sentosa 2,Goods,5351518091.0,Complete,Penyediaan Makan Dan Minuman Wbs Panti Sosial Bina Laras Harapan Sentosa 2,2015-05-25,4545577300.0,Cv. Pangan Indo,12,0.8493995951624635
2015-05-25,Unknown Buyer,Penyediaan Makanan Dan Minuman Wbs Psbk Harapan Jaya,Goods,1040542695.0,Complete,Penyediaan Makanan Dan Minuman Wbs Psbk Harapan Jaya,2015-05-25,889060100.0,Cv.Alam Permai,12,0.8544196257127152
2015-05-21,Pemerintah Daerah Provinsi Dki Jakarta,Pelaksanaan New Cities Summit 2015 Di Jakarta,Services,14595711900.0,Complete,Pelaksanaan New Cities Summit 2015 Di Jakarta,2015-05-21,13655220700.0,Pt. Multi Taruna Sejati,8,0.9355638692758795
2015-05-21,Pemerintah Daerah Provinsi Dki Jakarta,Penyelenggaraan Jakarta Carnaval (Jakarnaval),Services,9965683750.0,Complete,Penyelenggaraan Jakarta Carnaval (Jakarnaval),2015-05-21,9169754000.0,Pt. Shalita Citra Mandiri,8,0.9201329512387948
2015-05-29,Unknown Buyer,Penyediaan Makanan Dan Minuman Wbs Panti Sosial Asuhan Anak Putra Utama 1,Goods,1070000000.0,Complete,Penyediaan Makanan Dan Minuman Wbs Panti Sosial Asuhan Anak Putra Utama 1,2015-05-29,950914564.0,Cv. Usaha Selaras,11,0.8887052
