year,code,name
2014,100,LPSE PT. Perusahaan Listrik Negara
2014,1008,LPSE Kabupaten Garut
2014,102,LPSE Kota Prabumulih
2014,104,LPSE Kota Surakarta
2014,105,LPSE Kementerian Dalam Negeri
2014,106,LPSE Provinsi Aceh
2014,108,LPSE Kota Semarang
2014,114,LPSE Kementrian Perhubungan
2014,116,LPSE Kabupaten Jombang
2014,120,LPSE Kabupaten Lombok Tengah
2014,128,LPSE Universitas Brawijaya
2014,130,LPSE BKKBN
2014,132,LPSE Kota Singkawang
2014,136,LPSE Kementerian Luar Negeri
2014,141,LPSE Kabupaten Karanganyar
2014,152,LPSE Kabupaten Nganjuk
2014,153,LPSE Kabupaten Banyuasin
2014,154,LPSE Provinsi Sulawesi Tengah
2014,155,LPSE Kabupaten Kerinci
2014,156,LPSE Ogan Komering Ilir
2014,157,LPSE Kabupaten Tanah Datar
2014,158,LPSE Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia
2014,16,LPSE Provinsi Sumatera Barat
2014,160,LPSE Kabupaten Sukoharjo
2014,161,LPSE Kabupaten Bengkalis
2014,162,LPSE Universitas Negeri Surabaya
2014,163,LPSE Kota Bogor
2014,164,LPSE Kota Madiun
2014,165,LPSE Kabupaten Indragiri Hilir
2014,168,LPSE Kabupaten Musi Banyuasin
2014,17,LPSE Kota Denpasar
2014,172,LPSE Kabupaten Tanah Laut
2014,173,LPSE Provinsi Sulawesi Utara
2014,174,LPSE Universitas Hasanudin
2014,175,LPSE Kabupaten Sekadau
2014,176,LPSE Kabupaten Kotawaringin Barat
2014,177,LPSE Kabupaten Tapin
2014,179,LPSE Kabupaten Belitung Timur
2014,18,LPSE Provinsi Gorontalo
2014,180,LPSE Kota Kotamobagu
2014,181,LPSE Kalimantan Selatan
2014,182,LPSE Kabupaten Jepara
2014,183,LPSE Kabupaten Kotawaringin Timur
2014,184,LPSE Kota Tarakan
2014,186,LPSE Kabupaten Kuantan Singingi
2014,187,LPSE Kabupaten Tojo una-una
2014,188,LPSE Kabupaten Kuburaya
2014,189,LPSE Kabupaten Aceh Utara
2014,19,LPSE Kota Pekanbaru
2014,190,LPSE Universitas Indonesia
2014,191,LPSE POM
2014,192,LPSE Kota Malang
2014,193,LPSE Bandar Lampung
2014,194,LPSE Kementerian Ketenagakerjaan
2014,195,LPSE Kota Lubuklinggau
2014,197,LPSE Kabupaten Banjar
2014,198,LPSE Kabupaten Kutai Kartanegara
2014,20,LPSE Kota Banda Aceh
2014,200,LPSE Kabupaten Jember
2014,201,LPSE Kota Batu
2014,202,LPSE Kabupaten Pekalongan
2014,203,LPSE Kabupaten Blitar
2014,204,LPSE Kabupaten Madiun
2014,205,LPSE Kota Blitar
2014,206,LPSE Kabupaten Pinrang
2014,207,LPSE Kabupaten Kediri
2014,209,LPSE Kabupaten Batang
2014,21,LPSE kota Yogyakarta
2014,210,LPSE MPR RI
2014,211,LPSE Kabupaten Grobogan
2014,212,LPSE Kementerian Pertanian
2014,213,LPSE Universitas Tadulako
2014,214,LPSE Kota Palu
2014,218,LPSE Kementerian Kelautan dan Perikanan
2014,22,LPSE Provinsi Kepulauan Riau
2014,220,LPSE Kabupaten Wonosobo
2014,222,LPSE Kabupaten Sumbawa
2014,223,LPSE Kabupaten Pasaman
2014,224,LPSE Universitas Tanjung Pura
2014,225,LPSE Kota Tangerang Selatan
2014,226,LPSE Kabupaten Batanghari
2014,227,LPSE Universitas Jenderal Soedirman
2014,228,LPSE Kabupaten Sragen
2014,23,LPSE Kota Banjarbaru
2014,230,LPSE Kabupaten Sarolangun
2014,231,LPSE Kabupaten Enrekang
2014,232,LPSE Kabupaten Kampar
2014,233,LPSE Kabupaten Halmahera Utara
2014,234,LPSE Kota Makassar
2014,235,LPSE Kota Pare-pare
